panel,x,y,series
a,1.3087,4.885918,EIT_real_qutip
a,1.3087,0.856191,tangent_analytic
a,1.3087,4.885918,tangent_numeric
a,1.3587,4.719823,EIT_real_qutip
a,1.3587,0.844389,tangent_analytic
a,1.3587,4.719842,tangent_numeric
a,1.4086,4.554137,EIT_real_qutip
a,1.4086,0.832587,tangent_analytic
a,1.4086,4.553765,tangent_numeric
a,1.4586,4.389287,EIT_real_qutip
a,1.4586,0.820785,tangent_analytic
a,1.4586,4.387689,tangent_numeric
a,1.5085,4.225675,EIT_real_qutip
a,1.5085,0.808982,tangent_analytic
a,1.5085,4.221612,tangent_numeric
a,1.5585,4.063680,EIT_real_qutip
a,1.5585,0.797180,tangent_analytic
a,1.5585,4.055536,tangent_numeric
a,1.6084,3.903651,EIT_real_qutip
a,1.6084,0.785378,tangent_analytic
a,1.6084,3.889459,tangent_numeric
a,1.6583,3.745915,EIT_real_qutip
a,1.6583,0.773576,tangent_analytic
a,1.6583,3.723382,tangent_numeric
a,1.7083,3.590771,EIT_real_qutip
a,1.7083,0.761774,tangent_analytic
a,1.7083,3.557306,tangent_numeric
a,1.7583,3.438489,EIT_real_qutip
a,1.7583,0.749972,tangent_analytic
a,1.7583,3.391229,tangent_numeric
a,1.8082,3.289315,EIT_real_qutip
a,1.8082,0.738169,tangent_analytic
a,1.8082,3.225153,tangent_numeric
a,1.8581,3.143466,EIT_real_qutip
a,1.8581,0.726367,tangent_analytic
a,1.8581,3.059076,tangent_numeric
a,1.9081,3.001134,EIT_real_qutip
a,1.9081,0.714565,tangent_analytic
a,1.9081,2.893000,tangent_numeric
a,1.9581,2.862486,EIT_real_qutip
a,1.9581,0.702763,tangent_analytic
a,1.9581,2.726923,tangent_numeric
a,2.0080,2.727662,EIT_real_qutip
a,2.0080,0.690961,tangent_analytic
a,2.0080,2.560847,tangent_numeric
a,2.0579,2.596780,EIT_real_qutip
a,2.0579,0.679159,tangent_analytic
a,2.0579,2.394770,tangent_numeric
a,2.1079,2.469934,EIT_real_qutip
a,2.1079,0.667357,tangent_analytic
a,2.1079,2.228694,tangent_numeric
a,2.1578,2.347196,EIT_real_qutip
a,2.1578,0.655554,tangent_analytic
a,2.1578,2.062617,tangent_numeric
a,2.2078,2.228618,EIT_real_qutip
a,2.2078,0.643752,tangent_analytic
a,2.2078,1.896541,tangent_numeric
a,2.2577,2.114231,EIT_real_qutip
a,2.2577,0.631950,tangent_analytic
a,2.2577,1.730464,tangent_numeric
a,2.3077,2.004048,EIT_real_qutip
a,2.3077,0.620148,tangent_analytic
a,2.3077,1.564387,tangent_numeric
a,2.3577,1.898066,EIT_real_qutip
a,2.3577,0.608346,tangent_analytic
a,2.3577,1.398311,tangent_numeric
a,2.4076,1.796266,EIT_real_qutip
a,2.4076,0.596544,tangent_analytic
a,2.4076,1.232234,tangent_numeric
a,2.4575,1.698613,EIT_real_qutip
a,2.4575,0.584742,tangent_analytic
a,2.4575,1.066158,tangent_numeric
a,2.5075,1.605060,EIT_real_qutip
a,2.5075,0.572939,tangent_analytic
a,2.5075,0.900081,tangent_numeric
a,2.5574,1.515549,EIT_real_qutip
a,2.5574,0.561137,tangent_analytic
a,2.5574,0.734005,tangent_numeric
a,2.6074,1.430010,EIT_real_qutip
a,2.6074,0.549335,tangent_analytic
a,2.6074,0.567928,tangent_numeric
a,2.6573,1.348363,EIT_real_qutip
a,2.6573,0.537533,tangent_analytic
a,2.6573,0.401852,tangent_numeric
a,2.7073,1.270523,EIT_real_qutip
a,2.7073,0.525731,tangent_analytic
a,2.7073,0.235775,tangent_numeric
a,2.7572,1.196394,EIT_real_qutip
a,2.7572,0.513929,tangent_analytic
a,2.7572,0.069699,tangent_numeric
a,2.8072,1.125877,EIT_real_qutip
a,2.8072,0.502126,tangent_analytic
a,2.8072,-0.096378,tangent_numeric
a,2.8571,1.058866,EIT_real_qutip
a,2.8571,0.490324,tangent_analytic
a,2.8571,-0.262454,tangent_numeric
a,2.9071,0.995252,EIT_real_qutip
a,2.9071,0.478522,tangent_analytic
a,2.9071,-0.428531,tangent_numeric
a,2.9570,0.934922,EIT_real_qutip
a,2.9570,0.466720,tangent_analytic
a,2.9570,-0.594608,tangent_numeric
a,3.0070,0.877763,EIT_real_qutip
a,3.0070,0.454918,tangent_analytic
a,3.0070,-0.760684,tangent_numeric
a,3.0570,0.823657,EIT_real_qutip
a,3.0570,0.443116,tangent_analytic
a,3.0570,-0.926761,tangent_numeric
a,3.1069,0.772487,EIT_real_qutip
a,3.1069,0.431314,tangent_analytic
a,3.1069,-1.092837,tangent_numeric
a,3.1568,0.724137,EIT_real_qutip
a,3.1568,0.419511,tangent_analytic
a,3.1568,-1.258914,tangent_numeric
a,3.2068,0.678489,EIT_real_qutip
a,3.2068,0.407709,tangent_analytic
a,3.2068,-1.424990,tangent_numeric
a,3.2567,0.635427,EIT_real_qutip
a,3.2567,0.395907,tangent_analytic
a,3.2567,-1.591067,tangent_numeric
a,3.3067,0.594837,EIT_real_qutip
a,3.3067,0.384105,tangent_analytic
a,3.3067,-1.757143,tangent_numeric
a,3.3566,0.556605,EIT_real_qutip
a,3.3566,0.372303,tangent_analytic
a,3.3566,-1.923220,tangent_numeric
a,3.4066,0.520621,EIT_real_qutip
a,3.4066,0.360501,tangent_analytic
a,3.4066,-2.089296,tangent_numeric
a,3.4566,0.486777,EIT_real_qutip
a,3.4566,0.348699,tangent_analytic
a,3.4566,-2.255373,tangent_numeric
a,3.5065,0.454966,EIT_real_qutip
a,3.5065,0.336896,tangent_analytic
a,3.5065,-2.421449,tangent_numeric
a,3.5564,0.425087,EIT_real_qutip
a,3.5564,0.325094,tangent_analytic
a,3.5564,-2.587526,tangent_numeric
a,3.6064,0.397039,EIT_real_qutip
a,3.6064,0.313292,tangent_analytic
a,3.6064,-2.753603,tangent_numeric
a,3.6563,0.370726,EIT_real_qutip
a,3.6563,0.301490,tangent_analytic
a,3.6563,-2.919679,tangent_numeric
a,3.7063,0.346056,EIT_real_qutip
a,3.7063,0.289688,tangent_analytic
a,3.7063,-3.085756,tangent_numeric
a,3.7563,0.322937,EIT_real_qutip
a,3.7563,0.277886,tangent_analytic
a,3.7563,-3.251832,tangent_numeric
a,3.8062,0.301285,EIT_real_qutip
a,3.8062,0.266083,tangent_analytic
a,3.8062,-3.417909,tangent_numeric
a,3.8561,0.281016,EIT_real_qutip
a,3.8561,0.254281,tangent_analytic
a,3.8561,-3.583985,tangent_numeric
a,3.9061,0.262051,EIT_real_qutip
a,3.9061,0.242479,tangent_analytic
a,3.9061,-3.750062,tangent_numeric
a,3.9560,0.244315,EIT_real_qutip
a,3.9560,0.230677,tangent_analytic
a,3.9560,-3.916138,tangent_numeric
a,4.0060,0.227735,EIT_real_qutip
a,4.0060,0.218875,tangent_analytic
a,4.0060,-4.082215,tangent_numeric
a,4.0560,0.212242,EIT_real_qutip
a,4.0560,0.207073,tangent_analytic
a,4.0560,-4.248291,tangent_numeric
a,4.1059,0.197771,EIT_real_qutip
a,4.1059,0.195271,tangent_analytic
a,4.1059,-4.414368,tangent_numeric
a,4.1559,0.184260,EIT_real_qutip
a,4.1559,0.183468,tangent_analytic
a,4.1559,-4.580444,tangent_numeric
a,4.2058,0.171649,EIT_real_qutip
a,4.2058,0.171666,tangent_analytic
a,4.2058,-4.746521,tangent_numeric
a,4.2557,0.159883,EIT_real_qutip
a,4.2557,0.159864,tangent_analytic
a,4.2557,-4.912598,tangent_numeric
a,4.3057,0.148908,EIT_real_qutip
a,4.3057,0.148062,tangent_analytic
a,4.3057,-5.078674,tangent_numeric
a,4.3556,0.138674,EIT_real_qutip
a,4.3556,0.136260,tangent_analytic
a,4.3556,-5.244751,tangent_numeric
a,4.4056,0.129134,EIT_real_qutip
a,4.4056,0.124458,tangent_analytic
a,4.4056,-5.410827,tangent_numeric
a,4.4555,0.120243,EIT_real_qutip
a,4.4555,0.112656,tangent_analytic
a,4.4555,-5.576904,tangent_numeric
a,4.5055,0.111959,EIT_real_qutip
a,4.5055,0.100853,tangent_analytic
a,4.5055,-5.742980,tangent_numeric
a,4.5554,0.104242,EIT_real_qutip
a,4.5554,0.089051,tangent_analytic
a,4.5554,-5.909057,tangent_numeric
a,4.6054,0.097055,EIT_real_qutip
a,4.6054,0.077249,tangent_analytic
a,4.6054,-6.075133,tangent_numeric
a,4.6554,0.090363,EIT_real_qutip
a,4.6554,0.065447,tangent_analytic
a,4.6554,-6.241210,tangent_numeric
a,4.7053,0.084133,EIT_real_qutip
a,4.7053,0.053645,tangent_analytic
a,4.7053,-6.407286,tangent_numeric
a,4.7553,0.078334,EIT_real_qutip
a,4.7553,0.041843,tangent_analytic
a,4.7553,-6.573363,tangent_numeric
a,4.8052,0.072937,EIT_real_qutip
a,4.8052,0.030040,tangent_analytic
a,4.8052,-6.739439,tangent_numeric
a,4.8552,0.067914,EIT_real_qutip
a,4.8552,0.018238,tangent_analytic
a,4.8552,-6.905516,tangent_numeric
a,4.9051,0.063240,EIT_real_qutip
a,4.9051,0.006436,tangent_analytic
a,4.9051,-7.071593,tangent_numeric
a,4.9550,0.058892,EIT_real_qutip
a,4.9550,-0.005366,tangent_analytic
a,4.9550,-7.237669,tangent_numeric
a,5.0050,0.054847,EIT_real_qutip
a,5.0050,-0.017168,tangent_analytic
a,5.0050,-7.403746,tangent_numeric
a,5.0549,0.051085,EIT_real_qutip
a,5.0549,-0.028970,tangent_analytic
a,5.0549,-7.569822,tangent_numeric
a,5.1049,0.047584,EIT_real_qutip
a,5.1049,-0.040772,tangent_analytic
a,5.1049,-7.735899,tangent_numeric
a,5.1548,0.044329,EIT_real_qutip
a,5.1548,-0.052575,tangent_analytic
a,5.1548,-7.901975,tangent_numeric
a,5.2048,0.041301,EIT_real_qutip
a,5.2048,-0.064377,tangent_analytic
a,5.2048,-8.068052,tangent_numeric
a,5.2547,0.038484,EIT_real_qutip
a,5.2547,-0.076179,tangent_analytic
a,5.2547,-8.234128,tangent_numeric
a,5.3047,0.035865,EIT_real_qutip
a,5.3047,-0.087981,tangent_analytic
a,5.3047,-8.400205,tangent_numeric
a,5.3547,0.033429,EIT_real_qutip
a,5.3547,-0.099783,tangent_analytic
a,5.3547,-8.566281,tangent_numeric
a,5.4046,0.031163,EIT_real_qutip
a,5.4046,-0.111585,tangent_analytic
a,5.4046,-8.732358,tangent_numeric
a,5.4546,0.029055,EIT_real_qutip
a,5.4546,-0.123387,tangent_analytic
a,5.4546,-8.898435,tangent_numeric
a,5.5045,0.027094,EIT_real_qutip
a,5.5045,-0.135190,tangent_analytic
a,5.5045,-9.064511,tangent_numeric
a,5.5545,0.025270,EIT_real_qutip
a,5.5545,-0.146992,tangent_analytic
a,5.5545,-9.230588,tangent_numeric
a,5.6044,0.023574,EIT_real_qutip
a,5.6044,-0.158794,tangent_analytic
a,5.6044,-9.396664,tangent_numeric
a,5.6543,0.021995,EIT_real_qutip
a,5.6543,-0.170596,tangent_analytic
a,5.6543,-9.562741,tangent_numeric
a,5.7043,0.020527,EIT_real_qutip
a,5.7043,-0.182398,tangent_analytic
a,5.7043,-9.728817,tangent_numeric
a,5.7542,0.019160,EIT_real_qutip
a,5.7542,-0.194200,tangent_analytic
a,5.7542,-9.894894,tangent_numeric
a,5.8042,0.017888,EIT_real_qutip
a,5.8042,-0.206003,tangent_analytic
a,5.8042,-10.060970,tangent_numeric
a,5.8541,0.016704,EIT_real_qutip
a,5.8541,-0.217805,tangent_analytic
a,5.8541,-10.227047,tangent_numeric
a,5.9041,0.015603,EIT_real_qutip
a,5.9041,-0.229607,tangent_analytic
a,5.9041,-10.393123,tangent_numeric
a,5.9540,0.014577,EIT_real_qutip
a,5.9540,-0.241409,tangent_analytic
a,5.9540,-10.559200,tangent_numeric
a,6.0040,0.013622,EIT_real_qutip
a,6.0040,-0.253211,tangent_analytic
a,6.0040,-10.725276,tangent_numeric
a,6.0540,0.012733,EIT_real_qutip
a,6.0540,-0.265013,tangent_analytic
a,6.0540,-10.891353,tangent_numeric
a,6.1039,0.011905,EIT_real_qutip
a,6.1039,-0.276815,tangent_analytic
a,6.1039,-11.057430,tangent_numeric
a,6.1539,0.011133,EIT_real_qutip
a,6.1539,-0.288618,tangent_analytic
a,6.1539,-11.223506,tangent_numeric
a,6.2038,0.010414,EIT_real_qutip
a,6.2038,-0.300420,tangent_analytic
a,6.2038,-11.389583,tangent_numeric
a,6.2538,0.009745,EIT_real_qutip
a,6.2538,-0.312222,tangent_analytic
a,6.2538,-11.555659,tangent_numeric
a,6.3037,0.009120,EIT_real_qutip
a,6.3037,-0.324024,tangent_analytic
a,6.3037,-11.721736,tangent_numeric
a,6.3537,0.008539,EIT_real_qutip
a,6.3537,-0.335826,tangent_analytic
a,6.3537,-11.887812,tangent_numeric
a,6.4036,0.007996,EIT_real_qutip
a,6.4036,-0.347628,tangent_analytic
a,6.4036,-12.053889,tangent_numeric
a,6.4535,0.007490,EIT_real_qutip
a,6.4535,-0.359431,tangent_analytic
a,6.4535,-12.219965,tangent_numeric
a,6.5035,0.007019,EIT_real_qutip
a,6.5035,-0.371233,tangent_analytic
a,6.5035,-12.386042,tangent_numeric
a,6.5534,0.006578,EIT_real_qutip
a,6.5534,-0.383035,tangent_analytic
a,6.5534,-12.552118,tangent_numeric
a,6.6034,0.006168,EIT_real_qutip
a,6.6034,-0.394837,tangent_analytic
a,6.6034,-12.718195,tangent_numeric
a,6.6533,0.005784,EIT_real_qutip
a,6.6533,-0.406639,tangent_analytic
a,6.6533,-12.884271,tangent_numeric
a,6.7033,0.005427,EIT_real_qutip
a,6.7033,-0.418441,tangent_analytic
a,6.7033,-13.050348,tangent_numeric
a,6.7532,0.005092,EIT_real_qutip
a,6.7532,-0.430243,tangent_analytic
a,6.7532,-13.216425,tangent_numeric
a,6.8032,0.004780,EIT_real_qutip
a,6.8032,-0.442046,tangent_analytic
a,6.8032,-13.382501,tangent_numeric
a,6.8532,0.004489,EIT_real_qutip
a,6.8532,-0.453848,tangent_analytic
a,6.8532,-13.548578,tangent_numeric
a,6.9031,0.004216,EIT_real_qutip
a,6.9031,-0.465650,tangent_analytic
a,6.9031,-13.714654,tangent_numeric
a,6.9531,0.003962,EIT_real_qutip
a,6.9531,-0.477452,tangent_analytic
a,6.9531,-13.880731,tangent_numeric
a,7.0030,0.003724,EIT_real_qutip
a,7.0030,-0.489254,tangent_analytic
a,7.0030,-14.046807,tangent_numeric
a,7.0530,0.003501,EIT_real_qutip
a,7.0530,-0.501056,tangent_analytic
a,7.0530,-14.212884,tangent_numeric
a,7.1029,0.003293,EIT_real_qutip
a,7.1029,-0.512858,tangent_analytic
a,7.1029,-14.378960,tangent_numeric
a,7.1528,0.003098,EIT_real_qutip
a,7.1528,-0.524661,tangent_analytic
a,7.1528,-14.545037,tangent_numeric
a,7.2028,0.002916,EIT_real_qutip
a,7.2028,-0.536463,tangent_analytic
a,7.2028,-14.711113,tangent_numeric
a,7.2527,0.002745,EIT_real_qutip
a,7.2527,-0.548265,tangent_analytic
a,7.2527,-14.877190,tangent_numeric
a,7.3027,0.002585,EIT_real_qutip
a,7.3027,-0.560067,tangent_analytic
a,7.3027,-15.043266,tangent_numeric
a,7.3526,0.002435,EIT_real_qutip
a,7.3526,-0.571869,tangent_analytic
a,7.3526,-15.209343,tangent_numeric
a,7.4026,0.002295,EIT_real_qutip
a,7.4026,-0.583671,tangent_analytic
a,7.4026,-15.375420,tangent_numeric
a,7.4525,0.002164,EIT_real_qutip
a,7.4525,-0.595474,tangent_analytic
a,7.4525,-15.541496,tangent_numeric
a,7.5025,0.002041,EIT_real_qutip
a,7.5025,-0.607276,tangent_analytic
a,7.5025,-15.707573,tangent_numeric
a,7.5525,0.001925,EIT_real_qutip
a,7.5525,-0.619078,tangent_analytic
a,7.5525,-15.873649,tangent_numeric
a,7.6024,0.001817,EIT_real_qutip
a,7.6024,-0.630880,tangent_analytic
a,7.6024,-16.039726,tangent_numeric
a,7.6524,0.001715,EIT_real_qutip
a,7.6524,-0.642682,tangent_analytic
a,7.6524,-16.205802,tangent_numeric
a,7.7023,0.001619,EIT_real_qutip
a,7.7023,-0.654484,tangent_analytic
a,7.7023,-16.371879,tangent_numeric
a,7.7523,0.001530,EIT_real_qutip
a,7.7523,-0.666286,tangent_analytic
a,7.7523,-16.537955,tangent_numeric
a,7.8022,0.001446,EIT_real_qutip
a,7.8022,-0.678089,tangent_analytic
a,7.8022,-16.704032,tangent_numeric
a,7.8521,0.001367,EIT_real_qutip
a,7.8521,-0.689891,tangent_analytic
a,7.8521,-16.870108,tangent_numeric
a,7.9021,0.001292,EIT_real_qutip
a,7.9021,-0.701693,tangent_analytic
a,7.9021,-17.036185,tangent_numeric
a,7.9520,0.001222,EIT_real_qutip
a,7.9520,-0.713495,tangent_analytic
a,7.9520,-17.202261,tangent_numeric
a,8.0020,0.001157,EIT_real_qutip
a,8.0020,-0.725297,tangent_analytic
a,8.0020,-17.368338,tangent_numeric
a,8.0519,0.001095,EIT_real_qutip
a,8.0519,-0.737099,tangent_analytic
a,8.0519,-17.534415,tangent_numeric
a,8.1019,0.001037,EIT_real_qutip
a,8.1019,-0.748901,tangent_analytic
a,8.1019,-17.700491,tangent_numeric
a,8.1518,0.000982,EIT_real_qutip
a,8.1518,-0.760704,tangent_analytic
a,8.1518,-17.866568,tangent_numeric
a,8.2018,0.000931,EIT_real_qutip
a,8.2018,-0.772506,tangent_analytic
a,8.2018,-18.032644,tangent_numeric
a,8.2517,0.000882,EIT_real_qutip
a,8.2517,-0.784308,tangent_analytic
a,8.2517,-18.198721,tangent_numeric
a,8.3017,0.000837,EIT_real_qutip
a,8.3017,-0.796110,tangent_analytic
a,8.3017,-18.364797,tangent_numeric
a,8.3516,0.000794,EIT_real_qutip
a,8.3516,-0.807912,tangent_analytic
a,8.3516,-18.530874,tangent_numeric
a,8.4016,0.000753,EIT_real_qutip
a,8.4016,-0.819714,tangent_analytic
a,8.4016,-18.696950,tangent_numeric
a,8.4515,0.000715,EIT_real_qutip
a,8.4515,-0.831517,tangent_analytic
a,8.4515,-18.863027,tangent_numeric
a,8.5015,0.000679,EIT_real_qutip
a,8.5015,-0.843319,tangent_analytic
a,8.5015,-19.029103,tangent_numeric
a,8.5515,0.000645,EIT_real_qutip
a,8.5515,-0.855121,tangent_analytic
a,8.5515,-19.195180,tangent_numeric
a,8.6014,0.000613,EIT_real_qutip
a,8.6014,-0.866923,tangent_analytic
a,8.6014,-19.361257,tangent_numeric
a,8.6514,0.000582,EIT_real_qutip
a,8.6514,-0.878725,tangent_analytic
a,8.6514,-19.527333,tangent_numeric
a,8.7013,0.000554,EIT_real_qutip
a,8.7013,-0.890527,tangent_analytic
a,8.7013,-19.693410,tangent_numeric
a,8.7513,0.000527,EIT_real_qutip
a,8.7513,-0.902329,tangent_analytic
a,8.7513,-19.859486,tangent_numeric
a,8.8012,0.000501,EIT_real_qutip
a,8.8012,-0.914132,tangent_analytic
a,8.8012,-20.025563,tangent_numeric
a,8.8512,0.000477,EIT_real_qutip
a,8.8512,-0.925934,tangent_analytic
a,8.8512,-20.191639,tangent_numeric
a,8.9011,0.000454,EIT_real_qutip
a,8.9011,-0.937736,tangent_analytic
a,8.9011,-20.357716,tangent_numeric
a,8.9511,0.000433,EIT_real_qutip
a,8.9511,-0.949538,tangent_analytic
a,8.9511,-20.523792,tangent_numeric
a,9.0010,0.000412,EIT_real_qutip
a,9.0010,-0.961340,tangent_analytic
a,9.0010,-20.689869,tangent_numeric
a,9.0510,0.000393,EIT_real_qutip
a,9.0510,-0.973142,tangent_analytic
a,9.0510,-20.855945,tangent_numeric
a,9.1009,0.000375,EIT_real_qutip
a,9.1009,-0.984944,tangent_analytic
a,9.1009,-21.022022,tangent_numeric
a,9.1509,0.000357,EIT_real_qutip
a,9.1509,-0.996747,tangent_analytic
a,9.1509,-21.188098,tangent_numeric
a,9.2008,0.000341,EIT_real_qutip
a,9.2008,-1.008549,tangent_analytic
a,9.2008,-21.354175,tangent_numeric
a,9.2508,0.000325,EIT_real_qutip
a,9.2508,-1.020351,tangent_analytic
a,9.2508,-21.520252,tangent_numeric
a,9.3007,0.000311,EIT_real_qutip
a,9.3007,-1.032153,tangent_analytic
a,9.3007,-21.686328,tangent_numeric
a,9.3506,0.000297,EIT_real_qutip
a,9.3506,-1.043955,tangent_analytic
a,9.3506,-21.852405,tangent_numeric
a,9.4006,0.000283,EIT_real_qutip
a,9.4006,-1.055757,tangent_analytic
a,9.4006,-22.018481,tangent_numeric
a,9.4505,0.000271,EIT_real_qutip
a,9.4505,-1.067560,tangent_analytic
a,9.4505,-22.184558,tangent_numeric
a,9.5005,0.000259,EIT_real_qutip
a,9.5005,-1.079362,tangent_analytic
a,9.5005,-22.350634,tangent_numeric
a,9.5504,0.000248,EIT_real_qutip
a,9.5504,-1.091164,tangent_analytic
a,9.5504,-22.516711,tangent_numeric
a,9.6004,0.000237,EIT_real_qutip
a,9.6004,-1.102966,tangent_analytic
a,9.6004,-22.682787,tangent_numeric
a,9.6503,0.000227,EIT_real_qutip
a,9.6503,-1.114768,tangent_analytic
a,9.6503,-22.848864,tangent_numeric
a,9.7003,0.000217,EIT_real_qutip
a,9.7003,-1.126570,tangent_analytic
a,9.7003,-23.014940,tangent_numeric
a,9.7502,0.000208,EIT_real_qutip
a,9.7502,-1.138372,tangent_analytic
a,9.7502,-23.181017,tangent_numeric
a,9.8002,0.000199,EIT_real_qutip
a,9.8002,-1.150175,tangent_analytic
a,9.8002,-23.347093,tangent_numeric
a,9.8501,0.000190,EIT_real_qutip
a,9.8501,-1.161977,tangent_analytic
a,9.8501,-23.513170,tangent_numeric
a,9.9001,0.000183,EIT_real_qutip
a,9.9001,-1.173779,tangent_analytic
a,9.9001,-23.679247,tangent_numeric
a,9.9500,0.000175,EIT_real_qutip
a,9.9500,-1.185581,tangent_analytic
a,9.9500,-23.845323,tangent_numeric
a,10.0000,0.000168,EIT_real_qutip
a,10.0000,-1.197383,tangent_analytic
a,10.0000,-24.011400,tangent_numeric
b,0.000000e+00,4.729404,ORF_0.5MHz
c,0.000000e+00,0.081335,ORF_0.5MHz
b,1.670844e-07,4.729348,ORF_0.5MHz
c,1.670844e-07,0.081341,ORF_0.5MHz
b,3.341688e-07,4.729182,ORF_0.5MHz
c,3.341688e-07,0.081360,ORF_0.5MHz
b,5.012531e-07,4.728905,ORF_0.5MHz
c,5.012531e-07,0.081393,ORF_0.5MHz
b,6.683375e-07,4.728517,ORF_0.5MHz
c,6.683375e-07,0.081438,ORF_0.5MHz
b,8.354219e-07,4.728018,ORF_0.5MHz
c,8.354219e-07,0.081495,ORF_0.5MHz
b,1.002506e-06,4.727409,ORF_0.5MHz
c,1.002506e-06,0.081566,ORF_0.5MHz
b,1.169591e-06,4.726689,ORF_0.5MHz
c,1.169591e-06,0.081650,ORF_0.5MHz
b,1.336675e-06,4.725859,ORF_0.5MHz
c,1.336675e-06,0.081746,ORF_0.5MHz
b,1.503759e-06,4.724919,ORF_0.5MHz
c,1.503759e-06,0.081855,ORF_0.5MHz
b,1.670844e-06,4.723868,ORF_0.5MHz
c,1.670844e-06,0.081977,ORF_0.5MHz
b,1.837928e-06,4.722708,ORF_0.5MHz
c,1.837928e-06,0.082112,ORF_0.5MHz
b,2.005013e-06,4.721437,ORF_0.5MHz
c,2.005013e-06,0.082260,ORF_0.5MHz
b,2.172097e-06,4.720058,ORF_0.5MHz
c,2.172097e-06,0.082420,ORF_0.5MHz
b,2.339181e-06,4.718569,ORF_0.5MHz
c,2.339181e-06,0.082593,ORF_0.5MHz
b,2.506266e-06,4.716971,ORF_0.5MHz
c,2.506266e-06,0.082778,ORF_0.5MHz
b,2.673350e-06,4.715265,ORF_0.5MHz
c,2.673350e-06,0.082976,ORF_0.5MHz
b,2.840434e-06,4.713450,ORF_0.5MHz
c,2.840434e-06,0.083187,ORF_0.5MHz
b,3.007519e-06,4.711527,ORF_0.5MHz
c,3.007519e-06,0.083410,ORF_0.5MHz
b,3.174603e-06,4.709497,ORF_0.5MHz
c,3.174603e-06,0.083646,ORF_0.5MHz
b,3.341688e-06,4.707359,ORF_0.5MHz
c,3.341688e-06,0.083894,ORF_0.5MHz
b,3.508772e-06,4.705114,ORF_0.5MHz
c,3.508772e-06,0.084156,ORF_0.5MHz
b,3.675856e-06,4.702763,ORF_0.5MHz
c,3.675856e-06,0.084450,ORF_0.5MHz
b,3.842941e-06,4.700306,ORF_0.5MHz
c,3.842941e-06,0.084756,ORF_0.5MHz
