distance_m,SNR_formula_dB_10dBm,SNR_formula_dB_20dBm,SNR_qutip_measured_dB_10dBm,SNR_qutip_measured_dB_20dBm,Omega_RF_theoretical_MHz_10dBm,Omega_RF_measured_MHz_10dBm,Omega_RF_theoretical_MHz_20dBm,Omega_RF_measured_MHz_20dBm
89.125094,,,,,0.1427,,0.4512,
94.406088,,,,,0.1347,,0.4259,
100.000000,,,,,0.1272,,0.4021,
105.925373,,,,,0.1200,,0.3796,
112.201845,,,,,0.1133,,0.3584,
118.850223,,,,,0.1070,,0.3383,
125.892541,,,,,0.1010,,0.3194,
133.352143,,,,,0.0954,,0.3015,
141.253754,,,,,0.0900,,0.2847,
149.623566,,,,,0.0850,,0.2687,
158.489319,,,,,0.0802,,0.2537,
167.880402,,,,,0.0757,,0.2395,
177.827941,,,,,0.0715,,0.2261,
188.364909,,,,,0.0675,,0.2135,
199.526231,,,,,0.0637,,0.2015,
211.348904,,,,,0.0602,,0.1903,
223.872114,,,,,0.0568,,0.1796,
237.137371,,,,,0.0536,,0.1696,
251.188643,,,,,0.0506,,0.1601,
266.072506,,,,,0.0478,,0.1511,
281.838293,,,,,0.0451,,0.1427,
298.538262,,,,,0.0426,,0.1347,
316.227766,,,,,0.0402,,0.1272,
334.965439,,,,,0.0380,,0.1200,
354.813389,,,,,0.0358,,0.1133,
375.837404,,,,,0.0338,,0.1070,
398.107171,,,,,0.0319,,0.1010,
421.696503,,,,,0.0302,,0.0954,
446.683592,,,,,0.0285,,0.0900,
473.151259,,,,,0.0269,,0.0850,
501.187234,,,,,0.0254,,0.0802,
530.884444,,,,,0.0240,,0.0757,
562.341325,,,,,0.0226,,0.0715,
595.662144,,,,,0.0213,,0.0675,
630.957344,,,,,0.0202,,0.0637,
668.343918,,,,,0.0190,,0.0602,
707.945784,,,,,0.0180,,0.0568,
749.894209,,,,,0.0170,,0.0536,
794.328235,,,,,0.0160,,0.0506,
841.395142,,,,,0.0151,,0.0478,
891.250938,,,,,0.0143,,0.0451,
944.060876,,,,,0.0135,,0.0426,
1000.000000,,,,,0.0127,,0.0402,
1059.253725,,,,,0.0120,,0.0380,
1122.018454,,,,,0.0113,,0.0358,
1188.502227,,,,,0.0107,,0.0338,
1258.925412,,,,,0.0101,,0.0319,
1333.521432,,,,,0.0095,,0.0302,
1412.537545,,,,,0.0090,,0.0285,
1496.235656,,,,,0.0085,,0.0269,
1584.893192,,,,,0.0080,,0.0254,
1678.804018,,,,,0.0076,,0.0240,
1778.279410,,,,,0.0072,,0.0226,
1883.649089,,,,,0.0068,,0.0213,
1995.262315,,,,,0.0064,,0.0202,
2113.489040,,,,,0.0060,,0.0190,
2238.721139,,,,,0.0057,,0.0180,
2371.373706,,,,,0.0054,,0.0170,
2511.886432,,,,,0.0051,,0.0160,
2660.725060,,,,,0.0048,,0.0151,
2818.382931,,,,,0.0045,,0.0143,
2985.382619,,,,,0.0043,,0.0135,
3162.277660,,,,,0.0040,,0.0127,
3349.654392,,,,,0.0038,,0.0120,
3548.133892,,,,,0.0036,,0.0113,
3758.374043,,,,,0.0034,,0.0107,
3981.071706,,,,,0.0032,,0.0101,
4216.965034,,,,,0.0030,,0.0095,
4466.835922,,,,,0.0028,,0.0090,
4731.512590,,,,,0.0027,,0.0085,
5011.872336,,,,,0.0025,,0.0080,
5308.844442,,,,,0.0024,,0.0076,
5623.413252,,,,,0.0023,,0.0072,
5956.621435,,,,,0.0021,,0.0068,
6309.573445,,,,,0.0020,,0.0064,
6683.439176,,,,,0.0019,,0.0060,
7079.457844,,,,,0.0018,,0.0057,
7498.942093,,,,,0.0017,,0.0054,
7943.282347,,,,,0.0016,,0.0051,
8413.951416,,,,,0.0015,,0.0048,
8912.509381,,,,,0.0014,,0.0045,
9440.608763,,,,,0.0013,,0.0043,
10000.000000,,,,,0.0013,,0.0040,
10592.537252,,,,,0.0012,,0.0038,
11220.184543,,,,,0.0011,,0.0036,
11885.022274,,,,,0.0011,,0.0034,
12589.254118,,,,,0.0010,,0.0032,
13335.214322,,,,,0.0010,,0.0030,
14125.375446,,,,,0.0009,,0.0028,
14962.356561,,,,,0.0008,,0.0027,
15848.931925,,,,,0.0008,,0.0025,
16788.040181,,,,,0.0008,,0.0024,
17782.794100,,,,,0.0007,,0.0023,
18836.490895,,,,,0.0007,,0.0021,
19952.623150,,,,,0.0006,,0.0020,
21134.890398,,,,,0.0006,,0.0019,
22387.211386,,,,,0.0006,,0.0018,
23713.737057,,,,,0.0005,,0.0017,
25118.864315,,,,,0.0005,,0.0016,
26607.250598,,,,,0.0005,,0.0015,
28183.829313,,,,,0.0005,,0.0014,
29853.826189,,,,,0.0004,,0.0013,
31622.776602,,,,,0.0004,,0.0013,
33496.543916,,,,,0.0004,,0.0012,
35481.338923,,,,,0.0004,,0.0011,
37583.740429,,,,,0.0003,,0.0011,
39810.717055,,,,,0.0003,,0.0010,
42169.650343,,,,,0.0003,,0.0010,
44668.359215,,,,,0.0003,,0.0009,
47315.125896,,,,,0.0003,,0.0008,
50118.723363,,,,,0.0003,,0.0008,
53088.444423,,,,,0.0002,,0.0008,
56234.132519,,,,,0.0002,,0.0007,
59566.214353,,,,,0.0002,,0.0007,
63095.734448,,,,,0.0002,,0.0006,
66834.391757,,,,,0.0002,,0.0006,
70794.578438,,,,,0.0002,,0.0006,
74989.420933,,,,,0.0002,,0.0005,
79432.823472,,,,,0.0002,,0.0005,
84139.514165,,,,,0.0002,,0.0005,
89125.093813,,,,,0.0001,,0.0005,
94406.087629,,,,,0.0001,,0.0004,
100000.000000,,,,,0.0001,,0.0004,
105925.372518,,,,,0.0001,,0.0004,
112201.845430,,,,,0.0001,,0.0004,
118850.222744,,,,,0.0001,,0.0003,
125892.541179,,,,,0.0001,,0.0003,
133352.143216,,,,,0.0001,,0.0003,
141253.754462,,,,,0.0001,,0.0003,
149623.565609,,,,,0.0001,,0.0003,
158489.319246,,,,,0.0001,,0.0003,
167880.401812,,,,,0.0001,,0.0002,
177827.941004,,,,,0.0001,,0.0002,
188364.908949,,,,,0.0001,,0.0002,
199526.231497,,,,,0.0001,,0.0002,
211348.903984,,,,,0.0001,,0.0002,
223872.113857,,,,,0.0001,,0.0002,
237137.370566,,,,,0.0001,,0.0002,
251188.643151,,,,,0.0001,,0.0002,
266072.505980,,,,,0.0000,,0.0002,
281838.293126,,,,,0.0000,,0.0001,
298538.261892,,,,,0.0000,,0.0001,
316227.766017,,,,,0.0000,,0.0001,
334965.439158,,,,,0.0000,,0.0001,
354813.389234,,,,,0.0000,,0.0001,
375837.404288,,,,,0.0000,,0.0001,
398107.170553,,,,,0.0000,,0.0001,
421696.503429,,,,,0.0000,,0.0001,
446683.592151,,,,,0.0000,,0.0001,
473151.258961,,,,,0.0000,,0.0001,
501187.233627,,,,,0.0000,,0.0001,
530884.444231,,,,,0.0000,,0.0001,
562341.325190,,,,,0.0000,,0.0001,
595662.143529,,,,,0.0000,,0.0001,
630957.344480,,,,,0.0000,,0.0001,
668343.917569,,,,,0.0000,,0.0001,
707945.784384,,,,,0.0000,,0.0001,
749894.209332,,,,,0.0000,,0.0001,
794328.234724,,,,,0.0000,,0.0001,
841395.141645,,,,,0.0000,,0.0000,
891250.938134,,,,,0.0000,,0.0000,
944060.876286,,,,,0.0000,,0.0000,
1000000.000000,,,,,0.0000,,0.0000,
